,RMSE,MAE,ME,MAPE
SARIMA,1.0987705692385932,0.8923313049256897,3.705511236063211,4.69339738810161
Persistence Forecast,0.914958305706148,0.5946743861679996,3.52635780475365,4.347359269233777
LSTM,0.4235146641731262,0.317864716053009,1.613561749458313,1.4464031457901
LSTM - include forecast,0.5176641345024109,0.3831608295440674,2.40545654296875,1.5481351613998413
TCN,0.7254523038864136,0.5209996700286865,2.4964160919189453,1.4396886825561523
