,power_consumption,ghi,temp,wind,is_weekend,is_spring,is_summer,is_autumn,is_winter,is_holiday,is_daylight
13134,-0.4478808913945148,-0.4241532390812328,1.3018951837356705,-0.5475372250289903,0,0,0,1,0,0,1
13135,-0.5465174895380547,-0.6598288880708021,1.2686762256442348,-0.5475372250289903,0,0,0,1,0,0,1
13136,-0.8777788429736098,-0.6598288880708021,1.181795873712787,-0.3681035412297419,0,0,0,1,0,0,1
13137,-1.1557722950904343,-0.6598288880708021,0.9671502983527395,-0.2714854037993777,0,0,0,1,0,0,0
13138,-1.264776059876066,-0.6598288880708021,0.8534392495012857,-0.2714854037993777,0,0,0,1,0,0,0
13139,-1.3146303431522874,-0.6598288880708021,0.70523159032411,-0.1748672663690132,0,0,0,1,0,0,0
13140,-1.429053514621466,-0.6598288880708021,0.59024288923837,-0.07824912893864869,0,0,0,1,0,0,0
13141,-1.5296412139676518,-0.6598288880708021,0.4765318403869163,-0.07824912893864869,0,0,0,1,0,0,0
13142,-1.5638883008859303,-0.6598288880708021,0.38454087951832444,0.11498714592208002,0,0,0,1,0,0,0
13143,-1.6236276395682494,-0.6598288880708021,0.2989381798211626,0.21160528335244452,0,0,0,1,0,0,0
13144,-1.6308143623716962,-0.6598288880708021,0.23633322034114873,0.11498714592208002,0,0,0,1,0,0,0
13145,-1.598408812159414,-0.6598288880708021,0.185227130969709,0.01836900849171551,0,0,0,1,0,0,0
13146,-1.2679813152546595,-0.6598288880708021,0.14561991170684302,0.11498714592208002,0,0,0,1,0,0,0
13147,-0.1045552204211944,-0.6598288880708021,0.12134451925540914,0.11498714592208002,0,0,0,1,0,0,0
13148,0.8872840777851619,-0.5948149159357485,0.10473504020969107,0.11498714592208002,0,0,0,1,0,0,0
13149,-0.13890871959339177,0.010627699571938118,0.08812556116397323,-0.1748672663690132,0,0,0,1,0,0,0
13150,0.07999091173285239,0.6648714279134993,0.3628207915354625,-0.2714854037993777,0,0,0,1,0,0,1
13151,-0.008323050388837266,1.189046578252369,0.8687710763127173,-0.2714854037993777,0,0,0,1,0,0,1
13152,-0.11142592025563387,1.4734827063432283,1.213737179569937,0.01836900849171551,0,0,0,1,0,0,1
13153,-0.15052020150056128,1.644144383197744,1.4002744057756922,0.30822342078280907,0,0,0,1,0,0,1
13154,-0.13890871959339177,1.5588135447704863,1.4858771054728543,0.7775115168731503,0,0,0,1,0,0,1
13155,-0.29693481578549974,1.2784407899380676,1.5063195412214303,1.163984066594608,0,0,0,1,0,0,1
13156,-0.09064609306764103,0.8477232245433376,1.4679899741928502,0.970747791733879,0,0,0,1,0,0,1
13157,-0.23859565756064605,0.2463033485615074,1.3696107521528285,0.7775115168731503,0,0,0,1,0,0,1
13158,-0.6576751316242112,-0.4078997460474694,1.2188477885070808,0.5842752420124216,0,0,0,1,0,0,1
13159,-0.7710131043618236,-0.6598288880708021,1.0118681265527492,0.5842752420124216,0,0,0,1,0,0,1
13160,-1.0114875985672052,-0.6598288880708021,0.8841029031241494,0.6808933794427862,0,0,0,1,0,0,1
13161,-1.2884209260562067,-0.6598288880708021,0.7985002034269878,0.7775115168731503,0,0,0,1,0,0,0
13162,-1.3400370933396253,-0.6598288880708021,0.7384505484155457,0.6808933794427862,0,0,0,1,0,0,0
13163,-1.4296238519071236,-0.6598288880708021,0.6796785456383901,0.6808933794427862,0,0,0,1,0,0,0
13164,-1.5415134011904943,-0.6598288880708021,0.6221841950955199,0.6808933794427862,0,0,0,1,0,0,0
13165,-1.6138173771233493,-0.6598288880708021,0.5442474088040741,0.8741296543035149,0,0,0,1,0,0,0
13166,-1.7106391003688561,-0.6598288880708021,0.5429697565697881,0.6808933794427862,1,0,0,1,0,0,0
13167,-1.7300227988541368,-0.6598288880708021,0.5276379297583562,0.8741296543035149,1,0,0,1,0,0,0
13168,-1.733762209210687,-0.6598288880708021,0.5110284507126382,0.7775115168731503,1,0,0,1,0,0,0
13169,-1.739140948485291,-0.6598288880708021,0.5046401895412084,0.7775115168731503,1,0,0,1,0,0,0
13170,-1.6587180682589235,-0.6598288880708021,0.49569662390120633,0.5842752420124216,1,0,0,1,0,0,0
13171,-1.4968178922031743,-0.6598288880708021,0.4688659269812003,0.48765710458205713,1,0,0,1,0,0,0
13172,-1.490371795606641,-0.6070050357110711,0.4407575778269085,0.30822342078280907,1,0,0,1,0,0,0
13173,-1.5562281249817869,-0.3063154145864482,0.4292587077183345,0.5842752420124216,1,0,0,1,0,0,0
13174,-1.6616869428207848,0.11221203103295936,0.49058601496406223,0.48765710458205713,1,0,0,1,0,0,1
13175,-1.4313565412228633,-0.24130144245139457,0.576188714661224,0.6808933794427862,1,0,0,1,0,0,1
