,0
2024-05-20 09:00:00+00:00,-1.2311866
2024-05-20 10:00:00+00:00,-1.5799403
2024-05-20 11:00:00+00:00,-1.2166004
2024-05-20 12:00:00+00:00,-1.1597748
2024-05-20 13:00:00+00:00,-1.1315258
2024-05-20 14:00:00+00:00,-0.8936758
2024-05-20 15:00:00+00:00,-0.8002186
2024-05-20 16:00:00+00:00,-0.48172545
2024-05-20 17:00:00+00:00,-0.3841095
2024-05-20 18:00:00+00:00,-0.33706278
2024-05-20 19:00:00+00:00,-0.17634624
2024-05-20 20:00:00+00:00,0.4635403
2024-05-20 21:00:00+00:00,0.6603613
2024-05-20 22:00:00+00:00,0.18972424
2024-05-20 23:00:00+00:00,0.025435627
2024-05-21 00:00:00+00:00,0.019420981
2024-05-21 01:00:00+00:00,0.1156674
2024-05-21 02:00:00+00:00,-0.019759834
2024-05-21 03:00:00+00:00,-0.29306513
2024-05-21 04:00:00+00:00,-0.07263929
2024-05-21 05:00:00+00:00,0.6050367
2024-05-21 06:00:00+00:00,0.8695635
2024-05-21 07:00:00+00:00,0.53473496
2024-05-21 08:00:00+00:00,0.06823075
2024-05-21 09:00:00+00:00,0.10444939
2024-05-21 10:00:00+00:00,-0.09788689
2024-05-21 11:00:00+00:00,-0.4990254
2024-05-21 12:00:00+00:00,-0.36403057
2024-05-21 13:00:00+00:00,0.23963314
2024-05-21 14:00:00+00:00,0.19102359
2024-05-21 15:00:00+00:00,-0.018672585
2024-05-21 16:00:00+00:00,-0.37657684
2024-05-21 17:00:00+00:00,-0.11578186
2024-05-21 18:00:00+00:00,-0.05070428
2024-05-21 19:00:00+00:00,-0.0907574
2024-05-21 20:00:00+00:00,-0.035096258
2024-05-21 21:00:00+00:00,-0.013076216
2024-05-21 22:00:00+00:00,-0.08712664
2024-05-21 23:00:00+00:00,-0.17918944
2024-05-22 00:00:00+00:00,0.4372888
2024-05-22 01:00:00+00:00,0.6775942
2024-05-22 02:00:00+00:00,0.18650463
2024-05-22 03:00:00+00:00,0.06785303
2024-05-22 04:00:00+00:00,0.18181337
2024-05-22 05:00:00+00:00,0.5240892
2024-05-22 06:00:00+00:00,0.73563725
2024-05-22 07:00:00+00:00,0.68420327
2024-05-22 08:00:00+00:00,0.63205147
2024-05-22 09:00:00+00:00,0.8290721
2024-05-22 10:00:00+00:00,0.56259507
2024-05-22 11:00:00+00:00,0.14044571
2024-05-22 12:00:00+00:00,-0.38892627
2024-05-22 13:00:00+00:00,-0.22093248
2024-05-22 14:00:00+00:00,-0.04704833
2024-05-22 15:00:00+00:00,-0.3891921
2024-05-22 16:00:00+00:00,-0.6443522
2024-05-22 17:00:00+00:00,-0.31751722
2024-05-22 18:00:00+00:00,-0.21543585
2024-05-22 19:00:00+00:00,-0.1976482
2024-05-22 20:00:00+00:00,0.41872883
2024-05-22 21:00:00+00:00,0.50195277
2024-05-22 22:00:00+00:00,0.028054744
2024-05-22 23:00:00+00:00,-0.018168211
2024-05-23 00:00:00+00:00,0.11707011
2024-05-23 01:00:00+00:00,0.04623151
2024-05-23 02:00:00+00:00,-0.049008965
2024-05-23 03:00:00+00:00,-0.11916545
2024-05-23 04:00:00+00:00,-0.20711128
2024-05-23 05:00:00+00:00,0.08194351
2024-05-23 06:00:00+00:00,0.7685789
2024-05-23 07:00:00+00:00,0.96700263
2024-05-23 08:00:00+00:00,0.7357607
2024-05-23 09:00:00+00:00,0.762179
2024-05-23 10:00:00+00:00,0.30318785
2024-05-23 11:00:00+00:00,-0.42730618
2024-05-23 12:00:00+00:00,-0.24212587
2024-05-23 13:00:00+00:00,0.08462894
2024-05-23 14:00:00+00:00,0.2585348
2024-05-23 15:00:00+00:00,-0.02578485
2024-05-23 16:00:00+00:00,-0.61575985
2024-05-23 17:00:00+00:00,-0.31581393
2024-05-23 18:00:00+00:00,-0.18067667
2024-05-23 19:00:00+00:00,-0.25303268
2024-05-23 20:00:00+00:00,-0.1658434
2024-05-23 21:00:00+00:00,-0.24565129
2024-05-23 22:00:00+00:00,-0.073242694
2024-05-23 23:00:00+00:00,0.44438124
2024-05-24 00:00:00+00:00,0.44965738
2024-05-24 01:00:00+00:00,0.14349367
2024-05-24 02:00:00+00:00,-0.11982179
2024-05-24 03:00:00+00:00,-0.23663525
2024-05-24 04:00:00+00:00,-0.26092172
2024-05-24 05:00:00+00:00,0.14805841
2024-05-24 06:00:00+00:00,0.16937423
2024-05-24 07:00:00+00:00,-0.23830116
2024-05-24 08:00:00+00:00,-0.4112544
2024-05-24 09:00:00+00:00,-0.3374263
2024-05-24 10:00:00+00:00,-0.5925726
2024-05-24 11:00:00+00:00,-0.03389901
2024-05-24 12:00:00+00:00,0.16165006
2024-05-24 13:00:00+00:00,0.33047664
2024-05-24 14:00:00+00:00,0.19392112
2024-05-24 15:00:00+00:00,0.38467163
2024-05-24 16:00:00+00:00,-0.039666105
2024-05-24 17:00:00+00:00,0.0327812
