,0
2024-05-20 09:00:00+00:00,-1.3236597
2024-05-20 10:00:00+00:00,-1.5630513
2024-05-20 11:00:00+00:00,-0.9609254
2024-05-20 12:00:00+00:00,-0.94843906
2024-05-20 13:00:00+00:00,-0.9865227
2024-05-20 14:00:00+00:00,-0.70504063
2024-05-20 15:00:00+00:00,-0.5961099
2024-05-20 16:00:00+00:00,-0.26894546
2024-05-20 17:00:00+00:00,-0.042994022
2024-05-20 18:00:00+00:00,0.00016027689
2024-05-20 19:00:00+00:00,0.087311566
2024-05-20 20:00:00+00:00,0.6542147
2024-05-20 21:00:00+00:00,0.7720333
2024-05-20 22:00:00+00:00,0.26102242
2024-05-20 23:00:00+00:00,0.07744205
2024-05-21 00:00:00+00:00,0.13621795
2024-05-21 01:00:00+00:00,0.22864789
2024-05-21 02:00:00+00:00,-0.008060932
2024-05-21 03:00:00+00:00,-0.4572323
2024-05-21 04:00:00+00:00,-0.3653974
2024-05-21 05:00:00+00:00,0.35105494
2024-05-21 06:00:00+00:00,0.68661076
2024-05-21 07:00:00+00:00,0.362235
2024-05-21 08:00:00+00:00,-0.16281384
2024-05-21 09:00:00+00:00,-0.1777212
2024-05-21 10:00:00+00:00,-0.38719985
2024-05-21 11:00:00+00:00,-0.48042327
2024-05-21 12:00:00+00:00,-0.3511692
2024-05-21 13:00:00+00:00,0.23355305
2024-05-21 14:00:00+00:00,0.27941692
2024-05-21 15:00:00+00:00,0.086001575
2024-05-21 16:00:00+00:00,-0.27615163
2024-05-21 17:00:00+00:00,0.070693836
2024-05-21 18:00:00+00:00,0.10825153
2024-05-21 19:00:00+00:00,0.02218683
2024-05-21 20:00:00+00:00,0.042821765
2024-05-21 21:00:00+00:00,-0.01004979
2024-05-21 22:00:00+00:00,-0.09740189
2024-05-21 23:00:00+00:00,-0.15575713
2024-05-22 00:00:00+00:00,0.48402068
2024-05-22 01:00:00+00:00,0.7538968
2024-05-22 02:00:00+00:00,0.11895278
2024-05-22 03:00:00+00:00,-0.1338175
2024-05-22 04:00:00+00:00,-0.07685278
2024-05-22 05:00:00+00:00,0.32629734
2024-05-22 06:00:00+00:00,0.65633374
2024-05-22 07:00:00+00:00,0.6304281
2024-05-22 08:00:00+00:00,0.5883858
2024-05-22 09:00:00+00:00,0.7295977
2024-05-22 10:00:00+00:00,0.43093443
2024-05-22 11:00:00+00:00,0.21110618
2024-05-22 12:00:00+00:00,-0.3319335
2024-05-22 13:00:00+00:00,-0.19053316
2024-05-22 14:00:00+00:00,0.042913675
2024-05-22 15:00:00+00:00,-0.311121
2024-05-22 16:00:00+00:00,-0.60286987
2024-05-22 17:00:00+00:00,-0.26102024
2024-05-22 18:00:00+00:00,-0.19060083
2024-05-22 19:00:00+00:00,-0.19174093
2024-05-22 20:00:00+00:00,0.43187302
2024-05-22 21:00:00+00:00,0.50205296
2024-05-22 22:00:00+00:00,-0.023028344
2024-05-22 23:00:00+00:00,0.0009774566
2024-05-23 00:00:00+00:00,0.14523718
2024-05-23 01:00:00+00:00,0.13334137
2024-05-23 02:00:00+00:00,-0.042162955
2024-05-23 03:00:00+00:00,-0.17911643
2024-05-23 04:00:00+00:00,-0.26925212
2024-05-23 05:00:00+00:00,0.01295048
2024-05-23 06:00:00+00:00,0.7318982
2024-05-23 07:00:00+00:00,0.89015126
2024-05-23 08:00:00+00:00,0.6656152
2024-05-23 09:00:00+00:00,0.6538211
2024-05-23 10:00:00+00:00,0.19186819
2024-05-23 11:00:00+00:00,-0.41160548
